AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
108,257,-4,-124,120,149,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond2],relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3760,NA,27199,2,legacy,1024,2,48000,-16,experiment,18,C_4INCON,3,odd,brush,675,NA,675,NA,NA,679,62453,66522,62360,51052,27879,66275,62359,66214,NA,NA,50909,51052,61609,EyeTribe Visual Search Experiment,0,0,0,yes,1680,158.973,-34.715
113,231,148,39,109,118,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond1],relative,1,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1073,NA,27199,2,legacy,1024,2,48000,-16,experiment,14,C_120CON,3,odd,tire,675,NA,675,NA,67603,679,72531,73889,72439,68524,27879,73642,72439,73606,67078,66578,50909,68524,71689,EyeTribe Visual Search Experiment,0,0,0,yes,1680,159.9238,97.98
-189,-12,-73,-165,92,177,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond2],relative,1,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1063,NA,27199,2,legacy,1024,2,48000,-16,experiment,15,C_12INCON,3,odd,dish scrubber,675,NA,675,NA,74974,679,78694,80031,78600,75889,27879,79785,78599,79758,74407,73907,50909,75889,77849,EyeTribe Visual Search Experiment,0,0,0,yes,1680,53.4893,144.8179
-253,-161,30,-124,154,92,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond1],relative,0,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1310,NA,27199,2,legacy,1024,2,48000,-16,experiment,20,C_68CON,3,odd,dish soap,675,NA,675,NA,81330,679,84189,85764,84095,82246,27879,85519,84095,85502,80577,80076,50909,82246,83345,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-213.0652,-21.4842
-233,-135,136,-5,141,98,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond2],relative,1,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1729,NA,27199,2,legacy,1024,2,48000,-16,experiment,19,C_62INCON,3,odd,shampoo,675,NA,675,NA,87093,679,89908,91913,89808,88014,27879,91667,89807,91638,86284,85783,50909,88013,89057,EyeTribe Visual Search Experiment,0,0,0,yes,1680,146.4924,81.0911
-248,-119,201,52,149,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond1],relative,0,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1056,NA,27199,2,legacy,1024,2,48000,-16,experiment,16,C_20CON,3,odd,egg,675,NA,675,NA,93137,679,98596,99934,98503,94052,27879,99688,98503,99654,92431,91931,50909,94052,97753,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-185.6826,123.0652
-213,-103,-10,-98,88,110,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond2],relative,1,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1894,NA,27199,2,legacy,1024,2,48000,-16,experiment,12,C_104INCON,3,odd,belt,675,NA,675,NA,101245,679,104383,106545,104295,102153,27879,106299,104295,106278,100454,99954,50909,102153,103545,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-167.7062,-18.0909
-246,-130,-35,-180,145,116,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond1],relative,1,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1161,NA,27199,2,legacy,1024,2,48000,-16,experiment,17,C_43CON,3,odd,clock,675,NA,675,NA,107877,679,110410,111892,110319,108791,27879,111646,110319,111574,107063,106563,50909,108791,109569,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-189.4639,-79.7664
101,216,169,86,83,115,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond1],relative,1,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1389,NA,27199,2,legacy,1024,2,48000,-16,experiment,11,C_92CON,3,odd,electric iron,675,NA,675,NA,113183,679,115999,117654,115903,114102,27879,117406,115903,117390,112430,111930,50909,114102,115153,EyeTribe Visual Search Experiment,0,0,0,yes,1680,134.0822,113.4444
-172,-92,183,29,154,80,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,[cond2],relative,1,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 12:38,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Danvers.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3975,NA,27199,2,legacy,1024,2,48000,-16,experiment,13,C_10INCON,3,odd,bread knife,675,NA,675,NA,119019,679,121637,125880,121543,119932,27879,125635,121543,125614,118171,117670,50909,119932,120793,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-429.4137,58.3307
