AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
108,257,-4,-124,120,149,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1785,NA,31590,2,legacy,1024,2,48000,-16,experiment,18,C_4INCON,1,odd,brush,651,NA,651,NA,NA,654,58944,61005,58853,54305,32244,60757,58853,60732,NA,NA,54172,54305,58103,EyeTribe Visual Search Experiment,0,0,0,yes,1680,178.5539,-55.2369
-253,-161,30,-124,154,92,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,4410,NA,31590,2,legacy,1024,2,48000,-16,experiment,20,C_68CON,1,odd,dish soap,651,NA,651,NA,62050,654,66776,71466,66685,62967,32244,71218,66685,71187,61543,61043,54172,62967,65935,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-244.3878,-8.616
-248,-119,201,52,149,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1506,NA,31590,2,legacy,1024,2,48000,-16,experiment,16,C_20CON,1,odd,egg,651,NA,651,NA,72794,654,75640,77410,75550,73708,32244,77166,75549,77148,71983,71483,54172,73708,74799,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-215.1732,108.824
-246,-130,-35,-180,145,116,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1097,NA,31590,2,legacy,1024,2,48000,-16,experiment,17,C_43CON,1,odd,clock,651,NA,651,NA,78720,654,81512,82889,81421,79631,32244,82641,81421,82611,77932,77432,54172,79631,80671,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-209.3583,-114.3108
-213,-103,-10,-98,88,110,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,1,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1122,NA,31590,2,legacy,1024,2,48000,-16,experiment,12,C_104INCON,1,odd,belt,651,NA,651,NA,84165,654,86848,88248,86765,85071,32244,88001,86765,87971,83406,82906,54172,85071,86015,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-175.4883,-60.491
-189,-12,-73,-165,92,177,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,1,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1372,NA,31590,2,legacy,1024,2,48000,-16,experiment,15,C_12INCON,1,odd,dish scrubber,651,NA,651,NA,89574,654,92749,94400,92660,90489,32244,94154,92660,94124,88762,88262,54172,90489,91910,EyeTribe Visual Search Experiment,0,0,0,yes,1680,69.7713,150.4193
113,231,148,39,109,118,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,0,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1460,NA,31590,2,legacy,1024,2,48000,-16,experiment,14,C_120CON,1,odd,tire,651,NA,651,NA,95671,654,99364,101108,99277,96579,32244,100860,99276,100828,94920,94420,54172,96578,98526,EyeTribe Visual Search Experiment,0,0,0,yes,1680,233.2904,102.8845
-233,-135,136,-5,141,98,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,0,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,2989,NA,31590,2,legacy,1024,2,48000,-16,experiment,19,C_62INCON,1,odd,shampoo,651,NA,651,NA,102184,654,105476,108726,105380,103103,32244,108479,105380,108468,101626,101126,54172,103102,104630,EyeTribe Visual Search Experiment,0,0,0,yes,1680,5.2082,40.09
-172,-92,183,29,154,80,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,0,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,4925,NA,31590,2,legacy,1024,2,48000,-16,experiment,13,C_10INCON,1,odd,bread knife,651,NA,651,NA,109926,654,112829,118031,112740,110836,32244,117787,112740,117756,109244,108744,54172,110836,111990,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-465.8112,82.8489
101,216,169,86,83,115,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,0,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 12:07,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Parker.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1337,NA,31590,2,legacy,1024,2,48000,-16,experiment,11,C_92CON,1,odd,electric iron,651,NA,651,NA,119315,654,121784,123403,121692,120229,32244,123157,121692,123124,118552,118052,54172,120228,120942,EyeTribe Visual Search Experiment,0,0,0,yes,1680,170.2258,113.7637
