AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
115,238,184,54,130,123,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,2496,NA,48336,2,legacy,1024,2,48000,-16,experiment,7,C_43INCON,2,even,clock,690,NA,690,NA,NA,693,73681,76461,73589,70936,49029,76212,73589,76180,NA,NA,70805,70936,72839,EyeTribe Visual Search Experiment,0,0,0,yes,1680,196.7965,115.422
146,254,110,-44,154,108,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,None,NA,space,5000,NA,48336,2,legacy,1024,2,48000,-16,experiment,10,C_68INCON,2,even,dish soap,690,NA,690,NA,77749,693,82476,87750,82382,78669,49029,87506,82382,87477,76991,76490,70805,78669,81632,EyeTribe Visual Search Experiment,0,0,0,yes,1680,87.9558,60.4584
-203,-111,-43,-125,82,92,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,0,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1676,NA,48336,2,legacy,1024,2,48000,-16,experiment,4,C_120INCON,2,even,tire,690,NA,690,NA,89083,693,95575,97532,95487,89993,49029,97284,95486,97252,88272,87771,70805,89993,94735,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-186.1595,-93.2574
142,243,-21,-184,163,101,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,1,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1891,NA,48336,2,legacy,1024,2,48000,-16,experiment,9,C_62CON,2,even,shampoo,690,NA,690,NA,98628,693,101911,104079,101814,99549,49029,103833,101813,103804,98075,97575,70805,99549,101063,EyeTribe Visual Search Experiment,0,0,0,yes,1680,159.0195,65.3224
-252,-113,124,-11,135,139,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,0,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1713,NA,48336,2,legacy,1024,2,48000,-16,experiment,8,C_4CON,2,even,brush,690,NA,690,NA,105285,693,111490,113479,111397,106207,49029,113232,111397,113204,104598,104098,70805,106207,110647,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-202.8484,56.7047
136,265,-19,-160,141,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1126,NA,48336,2,legacy,1024,2,48000,-16,experiment,6,C_20INCON,2,even,egg,690,NA,690,NA,114506,693,118596,120001,118502,115420,49029,119755,118501,119724,113997,113497,70805,115420,117751,EyeTribe Visual Search Experiment,0,0,0,yes,1680,205.5404,-76.4136
23,126,-88,-160,72,103,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,1,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,2353,NA,48336,2,legacy,1024,2,48000,-16,experiment,3,C_10CON,2,even,bread knife,690,NA,690,NA,121314,693,124138,126751,124047,122226,49029,126507,124046,126492,120520,120020,70805,122226,123296,EyeTribe Visual Search Experiment,0,0,0,yes,1680,86.6625,-77.5298
58,188,184,72,112,130,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,0,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1656,NA,48336,2,legacy,1024,2,48000,-16,experiment,5,C_12CON,2,even,dish scrubber,690,NA,690,NA,128036,693,130858,132779,130766,128950,49029,132531,130765,132516,127273,126773,70805,128949,130015,EyeTribe Visual Search Experiment,0,0,0,yes,1680,67.3615,160.6599
106,277,98,-19,117,171,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,CON,relative,1,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,2565,NA,48336,2,legacy,1024,2,48000,-16,experiment,2,C_104CON,2,even,belt,690,NA,690,NA,134031,693,138557,141403,138469,134940,49029,141155,138469,141124,133296,132796,70805,134940,137719,EyeTribe Visual Search Experiment,0,0,0,yes,1680,203.8467,52.3685
-206,-94,-72,-151,79,112,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,INCON,CON,INCON,relative,1,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 12:29,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Prince.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1125,NA,48336,2,legacy,1024,2,48000,-16,experiment,1,C_92INCON,2,even,electric iron,690,NA,690,NA,142725,693,145821,147226,145725,143645,49029,146980,145725,146948,141922,141422,70805,143645,144975,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-176.8751,-98.8943
