AOI_Xleft,AOI_Xright,AOI_Ybottom,AOI_Ytop,AOI_h,AOI_w,CON_x_left,CON_x_right,CON_y_bottom,CON_y_top,INCON_x_left,INCON_x_right,INCON_y_bottom,INCON_y_top,acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,cond1,cond2,condition,coordinates,correct,correct_instructions,count_counterbalance,count_end_of_experiment,count_experiment,count_feedback,count_give_feedback,count_instructions,count_key_response,count_logger,count_prepare_show_screen,count_pygaze_drift_correct,count_pygaze_init,count_pygaze_log,count_pygaze_start_recording,count_pygaze_stop_recording,count_screenshot,count_show_aoi,count_trial_loop,count_trial_sequence,count_visual_cue,datetime,description,disable_garbage_collection,driftX,driftY,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,gaze_response,height,keyboard_backend,live_row,live_row_trial_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_end_of_experiment,response_instructions,response_time,response_time_end_of_experiment,response_time_instructions,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim_id,stimulus,subject_nr,subject_parity,target,time_counterbalance,time_end_of_experiment,time_experiment,time_feedback,time_give_feedback,time_instructions,time_key_response,time_logger,time_prepare_show_screen,time_pygaze_drift_correct,time_pygaze_init,time_pygaze_log,time_pygaze_start_recording,time_pygaze_stop_recording,time_screenshot,time_show_aoi,time_trial_loop,time_trial_sequence,time_visual_cue,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,x,y
-189,-12,-73,-165,92,177,570,700,568,456,323,500,311,219,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,undefined,undefined,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,NA,1050,legacy,0,0,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1239,NA,30767,2,legacy,1024,2,48000,-16,experiment,15,C_12INCON,5,odd,dish scrubber,691,NA,690,NA,NA,695,56125,57627,56031,52548,31462,57382,56031,57365,NA,NA,52415,52548,55281,EyeTribe Visual Search Experiment,0,0,0,yes,1680,81.3478,162.6527
-233,-135,136,-5,141,98,654,755,363,200,279,377,520,379,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,0,undefined,0,0,0,NA,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,1,1,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,3393,NA,30767,2,legacy,1024,2,48000,-16,experiment,19,C_62INCON,5,odd,shampoo,691,NA,690,NA,58911,695,61995,65667,61895,59842,31462,65420,61895,65390,58160,57660,52415,59841,61145,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-196.0418,71.1718
-172,-92,183,29,154,80,535,638,296,224,340,420,567,413,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,1,undefined,0,0,0,NA,2,0,2,2,2,2,0,2,2,2,2,2,0,2,2,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,2,2,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,None,NA,space,5000,NA,30767,2,legacy,1024,2,48000,-16,experiment,13,C_10INCON,5,odd,bread knife,691,NA,690,NA,66867,695,69516,74791,69424,67785,31462,74545,69423,74518,66186,65686,52415,67784,68672,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-42.6771,66.7928
-248,-119,201,52,149,129,264,393,585,436,648,777,365,224,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,0,undefined,0,0,0,NA,3,0,3,3,3,3,0,3,3,3,3,3,0,3,3,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,incorrect,1050,legacy,3,3,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,838,NA,30767,2,legacy,1024,2,48000,-16,experiment,16,C_20CON,5,odd,egg,691,NA,690,NA,76073,695,78508,79615,78415,76993,31462,79369,78415,79350,75310,74810,52415,76993,77665,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-164.0981,71.4063
108,257,-4,-124,120,149,260,399,508,373,620,769,380,260,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,1,undefined,0,0,0,NA,4,0,4,4,4,4,0,4,4,4,4,4,0,4,4,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,4,4,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1654,NA,30767,2,legacy,1024,2,48000,-16,experiment,18,C_4INCON,5,odd,brush,691,NA,690,NA,80924,695,83382,85299,83288,81845,31462,85053,83287,85038,80135,79635,52415,81845,82536,EyeTribe Visual Search Experiment,0,0,0,yes,1680,197.4099,-57.7865
-213,-103,-10,-98,88,110,618,789,482,365,299,409,374,286,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,INCON,relative,1,undefined,0,0,0,NA,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,5,5,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1284,NA,30767,2,legacy,1024,2,48000,-16,experiment,12,C_104INCON,5,odd,belt,691,NA,690,NA,86319,695,88464,90029,88376,87233,31462,89785,88375,89749,85817,85317,52415,87233,87625,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-168.4953,-63.949
-246,-130,-35,-180,145,116,266,382,349,204,627,750,568,438,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,6,0,6,6,6,6,0,6,6,6,6,6,0,6,6,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,6,6,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1244,NA,30767,2,legacy,1024,2,48000,-16,experiment,17,C_43CON,5,odd,clock,691,NA,690,NA,91364,695,93616,95124,93527,92276,31462,94876,93527,94861,90550,90050,52415,92276,92776,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-192.6813,-108.4199
-253,-161,30,-124,154,92,259,351,414,260,658,766,494,340,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,7,7,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1151,NA,30767,2,legacy,1024,2,48000,-16,experiment,20,C_68CON,5,odd,dish soap,691,NA,690,NA,96389,695,98772,100190,98678,97305,31462,99942,98678,99925,95642,95142,52415,97305,97928,EyeTribe Visual Search Experiment,0,0,0,yes,1680,-223.6087,-26.5024
113,231,148,39,109,118,625,743,532,423,309,401,341,259,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,8,0,8,8,8,8,0,8,8,8,8,8,0,8,8,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,8,8,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,709,NA,30767,2,legacy,1024,2,48000,-16,experiment,14,C_120CON,5,odd,tire,691,NA,690,NA,101521,695,103878,104862,103790,102435,31462,104618,103790,104589,100708,100207,52415,102434,103040,EyeTribe Visual Search Experiment,0,0,0,yes,1680,204.1812,77.4092
101,216,169,86,83,115,613,728,553,470,306,418,312,233,undefined,undefined,undefined,undefined,#ffffff,yes,legacy,legacy,legacy,0,CON,INCON,CON,relative,1,undefined,0,0,0,NA,9,0,9,9,9,9,0,9,9,9,9,9,0,9,9,12/18/2018 13:42,eyeR example,yes,0,-400,exampleExperimentSearch.osexp,C:\Users\Admin\Desktop\Dejan,no,mono,no,18,no,black,no,yes,correct,1050,legacy,9,9,C:/Users/Admin/Desktop/Dejan/Raven.csv,legacy,Kafkaesque Koffka,3.2.5,0,space,NA,space,1366,NA,30767,2,legacy,1024,2,48000,-16,experiment,11,C_92CON,5,odd,electric iron,691,NA,690,NA,105946,695,108238,109872,108143,106865,31462,109625,108142,109605,105382,104882,52415,106865,107392,EyeTribe Visual Search Experiment,0,0,0,yes,1680,159.1439,127.5327
